#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ARAF	RAF1	9606.ENSP00000290277	9606.ENSP00000401888	0	0	0.060	0.959	0.064	0.786	0.900	0.803	0.995
ARAF	HRAS	9606.ENSP00000290277	9606.ENSP00000407586	0	0	0	0	0.076	0.809	0.900	0.782	0.995
ARAF	BRAF	9606.ENSP00000290277	9606.ENSP00000419060	0	0	0.063	0.954	0	0.880	0.900	0.861	0.998
BAD	MAPK1	9606.ENSP00000378040	9606.ENSP00000215832	0	0	0	0	0.060	0	0.900	0.195	0.917
BAD	MAPK3	9606.ENSP00000378040	9606.ENSP00000263025	0	0	0	0	0.101	0	0.900	0.305	0.932
BAD	TP53	9606.ENSP00000378040	9606.ENSP00000269305	0	0	0	0	0.118	0	0	0.432	0.477
BAD	ARAF	9606.ENSP00000378040	9606.ENSP00000290277	0	0	0	0	0.049	0.298	0	0.189	0.412
BAD	BAX	9606.ENSP00000378040	9606.ENSP00000293288	0	0	0	0	0.081	0.578	0	0.676	0.863
BAD	MAP2K1	9606.ENSP00000378040	9606.ENSP00000302486	0	0	0	0	0.058	0	0.900	0.227	0.920
BAD	CASP9	9606.ENSP00000378040	9606.ENSP00000330237	0	0	0	0	0.062	0	0	0.567	0.577
BAD	PDPK1	9606.ENSP00000378040	9606.ENSP00000344220	0	0	0	0	0.042	0	0.500	0.186	0.576
BAD	BAK1	9606.ENSP00000378040	9606.ENSP00000363591	0	0	0	0	0.079	0.303	0	0.612	0.729
BAD	AKT2	9606.ENSP00000378040	9606.ENSP00000375892	0	0	0	0	0.054	0.065	0.900	0.201	0.919
BAD	BRAF	9606.ENSP00000378040	9606.ENSP00000419060	0	0	0	0	0	0.303	0	0.201	0.420
BAD	AKT3	9606.ENSP00000378040	9606.ENSP00000500582	0	0	0	0	0	0.065	0.900	0.220	0.920
BAD	RAF1	9606.ENSP00000378040	9606.ENSP00000401888	0	0	0	0	0	0.828	0.900	0.217	0.985
BAD	AKT1	9606.ENSP00000378040	9606.ENSP00000451828	0	0	0	0	0.060	0.860	0.900	0.572	0.993
BAK1	TP53	9606.ENSP00000363591	9606.ENSP00000269305	0	0	0	0	0.054	0.791	0.900	0.866	0.997
BAK1	BAX	9606.ENSP00000363591	9606.ENSP00000293288	0	0	0	0.650	0.100	0.836	0.900	0.801	0.996
BAK1	CASP9	9606.ENSP00000363591	9606.ENSP00000330237	0	0	0	0	0.067	0.125	0	0.622	0.664
BAK1	AKT1	9606.ENSP00000363591	9606.ENSP00000451828	0	0	0	0	0.062	0	0	0.412	0.425
BAK1	CDKN1A	9606.ENSP00000363591	9606.ENSP00000384849	0	0	0	0	0.106	0	0	0.393	0.435
BAK1	BAD	9606.ENSP00000363591	9606.ENSP00000378040	0	0	0	0	0.079	0.303	0	0.612	0.729
BAX	CCND1	9606.ENSP00000293288	9606.ENSP00000227507	0	0	0	0	0.052	0	0	0.546	0.552
BAX	CDK4	9606.ENSP00000293288	9606.ENSP00000257904	0	0	0	0	0.065	0	0	0.412	0.427
BAX	MAPK3	9606.ENSP00000293288	9606.ENSP00000263025	0	0	0	0	0.212	0	0	0.409	0.515
BAX	STAT3	9606.ENSP00000293288	9606.ENSP00000264657	0	0	0	0	0.064	0.056	0	0.449	0.470
BAX	TP53	9606.ENSP00000293288	9606.ENSP00000269305	0	0	0	0	0.080	0.782	0.900	0.774	0.994
BAX	EGFR	9606.ENSP00000293288	9606.ENSP00000275493	0	0	0	0	0.048	0	0	0.413	0.418
BAX	CDKN1A	9606.ENSP00000293288	9606.ENSP00000384849	0	0	0	0	0.111	0	0	0.466	0.505
BAX	AKT1	9606.ENSP00000293288	9606.ENSP00000451828	0	0	0	0	0.160	0.292	0	0.631	0.761
BAX	CASP9	9606.ENSP00000293288	9606.ENSP00000330237	0	0	0	0	0.108	0.349	0	0.773	0.856
BAX	BAD	9606.ENSP00000293288	9606.ENSP00000378040	0	0	0	0	0.081	0.578	0	0.676	0.863
BAX	BAK1	9606.ENSP00000293288	9606.ENSP00000363591	0	0	0	0.650	0.100	0.836	0.900	0.801	0.996
BRAF	MAPK1	9606.ENSP00000419060	9606.ENSP00000215832	0	0	0	0.586	0.094	0.647	0.700	0.539	0.949
BRAF	SOS2	9606.ENSP00000419060	9606.ENSP00000216373	0	0	0	0	0.113	0.084	0	0.582	0.631
BRAF	HGF	9606.ENSP00000419060	9606.ENSP00000222390	0	0	0	0	0	0.096	0	0.546	0.572
BRAF	CCND1	9606.ENSP00000419060	9606.ENSP00000227507	0	0	0	0	0	0	0	0.864	0.864
BRAF	KRAS	9606.ENSP00000419060	9606.ENSP00000256078	0	0	0	0	0.081	0.870	0.900	0.973	0.999
BRAF	CDK4	9606.ENSP00000419060	9606.ENSP00000257904	0	0	0	0.610	0	0.098	0	0.385	0.422
BRAF	MAP2K2	9606.ENSP00000419060	9606.ENSP00000262948	0	0	0	0.575	0.102	0.904	0.900	0.835	0.998
BRAF	MAPK3	9606.ENSP00000419060	9606.ENSP00000263025	0	0	0	0.579	0.087	0.653	0.700	0.632	0.960
BRAF	PRKCG	9606.ENSP00000419060	9606.ENSP00000263431	0	0	0	0.562	0	0.050	0.900	0.454	0.943
BRAF	PIK3CA	9606.ENSP00000419060	9606.ENSP00000263967	0	0	0	0	0.128	0.190	0	0.931	0.947
BRAF	STAT3	9606.ENSP00000419060	9606.ENSP00000264657	0	0	0	0	0.055	0.096	0	0.755	0.773
BRAF	EGF	9606.ENSP00000419060	9606.ENSP00000265171	0	0	0	0	0	0	0	0.651	0.651
BRAF	TP53	9606.ENSP00000419060	9606.ENSP00000269305	0	0	0	0	0.076	0	0	0.883	0.887
BRAF	ERBB2	9606.ENSP00000419060	9606.ENSP00000269571	0	0	0	0.569	0	0.102	0	0.447	0.482
BRAF	EGFR	9606.ENSP00000419060	9606.ENSP00000275493	0	0	0	0.571	0	0.255	0	0.486	0.601
BRAF	ARAF	9606.ENSP00000419060	9606.ENSP00000290277	0	0	0.063	0.954	0	0.880	0.900	0.861	0.998
BRAF	STAT5B	9606.ENSP00000419060	9606.ENSP00000293328	0	0	0	0	0.075	0.096	0	0.365	0.423
BRAF	MAP2K1	9606.ENSP00000419060	9606.ENSP00000302486	0	0	0	0.580	0.119	0.996	0.900	0.983	0.999
BRAF	EML4	9606.ENSP00000419060	9606.ENSP00000320663	0	0	0	0	0.074	0.067	0	0.729	0.745
BRAF	CASP9	9606.ENSP00000419060	9606.ENSP00000330237	0	0	0	0	0.042	0.067	0	0.400	0.417
BRAF	FOXO3	9606.ENSP00000419060	9606.ENSP00000339527	0	0	0	0	0.056	0.094	0	0.388	0.431
BRAF	E2F1	9606.ENSP00000419060	9606.ENSP00000345571	0	0	0	0	0.055	0.057	0	0.450	0.467
BRAF	RASSF1	9606.ENSP00000419060	9606.ENSP00000349547	0	0	0	0	0	0.187	0	0.508	0.583
BRAF	NRAS	9606.ENSP00000419060	9606.ENSP00000358548	0	0	0	0	0.087	0.871	0.900	0.972	0.999
BRAF	PIK3CD	9606.ENSP00000419060	9606.ENSP00000366563	0	0	0	0	0.052	0.069	0	0.409	0.433
BRAF	ALK	9606.ENSP00000419060	9606.ENSP00000373700	0	0	0	0.574	0	0	0	0.405	0.405
BRAF	GRB2	9606.ENSP00000419060	9606.ENSP00000376345	0	0	0	0	0	0.100	0	0.592	0.617
BRAF	BAD	9606.ENSP00000419060	9606.ENSP00000378040	0	0	0	0	0	0.303	0	0.201	0.420
BRAF	SOS1	9606.ENSP00000419060	9606.ENSP00000384675	0	0	0	0	0.158	0.084	0	0.881	0.900
BRAF	CDKN1A	9606.ENSP00000419060	9606.ENSP00000384849	0	0	0	0	0	0.047	0	0.505	0.508
BRAF	RAF1	9606.ENSP00000419060	9606.ENSP00000401888	0	0	0.066	0.945	0	0.927	0.900	0.983	0.999
BRAF	TGFA	9606.ENSP00000419060	9606.ENSP00000404131	0	0	0	0	0.059	0	0	0.428	0.439
BRAF	HRAS	9606.ENSP00000419060	9606.ENSP00000407586	0	0	0	0	0.074	0.921	0.900	0.952	0.999
BRAF	PRKCA	9606.ENSP00000419060	9606.ENSP00000408695	0	0	0	0.574	0	0.298	0.900	0.181	0.937
BRAF	CDKN2A	9606.ENSP00000419060	9606.ENSP00000418915	0	0	0	0	0	0.095	0	0.886	0.892
