#node	identifier	category	term ID	term description
AKT1	9606.ENSP00000451828	GO Process	GO:0007186	G protein-coupled receptor signaling pathway
AKT1	9606.ENSP00000451828	GO Process	GO:0007249	I-kappaB kinase/NF-kappaB signaling
AKT1	9606.ENSP00000451828	GO Process	GO:0007267	Cell-cell signaling
AKT1	9606.ENSP00000451828	GO Process	GO:0007268	Chemical synaptic transmission
AKT1	9606.ENSP00000451828	GO Process	GO:0007272	Ensheathment of neurons
AKT1	9606.ENSP00000451828	GO Process	GO:0007275	Multicellular organism development
AKT1	9606.ENSP00000451828	GO Process	GO:0007276	Gamete generation
AKT1	9606.ENSP00000451828	GO Process	GO:0007281	Germ cell development
AKT1	9606.ENSP00000451828	GO Process	GO:0007346	Regulation of mitotic cell cycle
AKT1	9606.ENSP00000451828	GO Process	GO:0007399	Nervous system development
AKT1	9606.ENSP00000451828	GO Process	GO:0007422	Peripheral nervous system development
AKT1	9606.ENSP00000451828	GO Process	GO:0007565	Female pregnancy
AKT1	9606.ENSP00000451828	GO Process	GO:0007610	Behavior
AKT1	9606.ENSP00000451828	GO Process	GO:0008104	Protein localization
AKT1	9606.ENSP00000451828	GO Process	GO:0008152	Metabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0008219	Cell death
AKT1	9606.ENSP00000451828	GO Process	GO:0008283	Cell population proliferation
AKT1	9606.ENSP00000451828	GO Process	GO:0008284	Positive regulation of cell population proliferation
AKT1	9606.ENSP00000451828	GO Process	GO:0008286	Insulin receptor signaling pathway
AKT1	9606.ENSP00000451828	GO Process	GO:0008366	Axon ensheathment
AKT1	9606.ENSP00000451828	GO Process	GO:0008593	Regulation of Notch signaling pathway
AKT1	9606.ENSP00000451828	GO Process	GO:0008637	Apoptotic mitochondrial changes
AKT1	9606.ENSP00000451828	GO Process	GO:0008643	Carbohydrate transport
AKT1	9606.ENSP00000451828	GO Process	GO:0009056	Catabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0009057	Macromolecule catabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0009058	Biosynthetic process
AKT1	9606.ENSP00000451828	GO Process	GO:0009059	Macromolecule biosynthetic process
AKT1	9606.ENSP00000451828	GO Process	GO:0009250	Glucan biosynthetic process
AKT1	9606.ENSP00000451828	GO Process	GO:0009266	Response to temperature stimulus
AKT1	9606.ENSP00000451828	GO Process	GO:0009314	Response to radiation
AKT1	9606.ENSP00000451828	GO Process	GO:0009408	Response to heat
AKT1	9606.ENSP00000451828	GO Process	GO:0009411	Response to UV
AKT1	9606.ENSP00000451828	GO Process	GO:0009416	Response to light stimulus
AKT1	9606.ENSP00000451828	GO Process	GO:0009605	Response to external stimulus
AKT1	9606.ENSP00000451828	GO Process	GO:0009607	Response to biotic stimulus
AKT1	9606.ENSP00000451828	GO Process	GO:0009617	Response to bacterium
AKT1	9606.ENSP00000451828	GO Process	GO:0009628	Response to abiotic stimulus
AKT1	9606.ENSP00000451828	GO Process	GO:0009653	Anatomical structure morphogenesis
AKT1	9606.ENSP00000451828	GO Process	GO:0009719	Response to endogenous stimulus
AKT1	9606.ENSP00000451828	GO Process	GO:0009725	Response to hormone
AKT1	9606.ENSP00000451828	GO Process	GO:0009790	Embryo development
AKT1	9606.ENSP00000451828	GO Process	GO:0009792	Embryo development ending in birth or egg hatching
AKT1	9606.ENSP00000451828	GO Process	GO:0009888	Tissue development
AKT1	9606.ENSP00000451828	GO Process	GO:0009889	Regulation of biosynthetic process
AKT1	9606.ENSP00000451828	GO Process	GO:0009891	Positive regulation of biosynthetic process
AKT1	9606.ENSP00000451828	GO Process	GO:0009892	Negative regulation of metabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0009893	Positive regulation of metabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0009894	Regulation of catabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0009895	Negative regulation of catabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0009896	Positive regulation of catabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0009966	Regulation of signal transduction
AKT1	9606.ENSP00000451828	GO Process	GO:0009968	Negative regulation of signal transduction
AKT1	9606.ENSP00000451828	GO Process	GO:0009987	Cellular process
AKT1	9606.ENSP00000451828	GO Process	GO:0009991	Response to extracellular stimulus
AKT1	9606.ENSP00000451828	GO Process	GO:0010001	Glial cell differentiation
AKT1	9606.ENSP00000451828	GO Process	GO:0010033	Response to organic substance
AKT1	9606.ENSP00000451828	GO Process	GO:0010035	Response to inorganic substance
AKT1	9606.ENSP00000451828	GO Process	GO:0010038	Response to metal ion
AKT1	9606.ENSP00000451828	GO Process	GO:0010243	Response to organonitrogen compound
AKT1	9606.ENSP00000451828	GO Process	GO:0010256	Endomembrane system organization
AKT1	9606.ENSP00000451828	GO Process	GO:0010466	Negative regulation of peptidase activity
AKT1	9606.ENSP00000451828	GO Process	GO:0010467	Gene expression
AKT1	9606.ENSP00000451828	GO Process	GO:0010468	Regulation of gene expression
AKT1	9606.ENSP00000451828	GO Process	GO:0010498	Proteasomal protein catabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0010506	Regulation of autophagy
AKT1	9606.ENSP00000451828	GO Process	GO:0010507	Negative regulation of autophagy
AKT1	9606.ENSP00000451828	GO Process	GO:0010556	Regulation of macromolecule biosynthetic process
AKT1	9606.ENSP00000451828	GO Process	GO:0010557	Positive regulation of macromolecule biosynthetic process
AKT1	9606.ENSP00000451828	GO Process	GO:0010562	Positive regulation of phosphorus metabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0010563	Negative regulation of phosphorus metabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0010564	Regulation of cell cycle process
AKT1	9606.ENSP00000451828	GO Process	GO:0010565	Regulation of cellular ketone metabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0010594	Regulation of endothelial cell migration
AKT1	9606.ENSP00000451828	GO Process	GO:0010595	Positive regulation of endothelial cell migration
AKT1	9606.ENSP00000451828	GO Process	GO:0010604	Positive regulation of macromolecule metabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0010605	Negative regulation of macromolecule metabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0010608	Post-transcriptional regulation of gene expression
AKT1	9606.ENSP00000451828	GO Process	GO:0010628	Positive regulation of gene expression
AKT1	9606.ENSP00000451828	GO Process	GO:0010629	Negative regulation of gene expression
AKT1	9606.ENSP00000451828	GO Process	GO:0010631	Epithelial cell migration
AKT1	9606.ENSP00000451828	GO Process	GO:0010632	Regulation of epithelial cell migration
AKT1	9606.ENSP00000451828	GO Process	GO:0010634	Positive regulation of epithelial cell migration
AKT1	9606.ENSP00000451828	GO Process	GO:0010639	Negative regulation of organelle organization
AKT1	9606.ENSP00000451828	GO Process	GO:0010646	Regulation of cell communication
AKT1	9606.ENSP00000451828	GO Process	GO:0010648	Negative regulation of cell communication
AKT1	9606.ENSP00000451828	GO Process	GO:0010675	Regulation of cellular carbohydrate metabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0010676	Positive regulation of cellular carbohydrate metabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0010746	Regulation of long-chain fatty acid import across plasma membrane
AKT1	9606.ENSP00000451828	GO Process	GO:0010748	Negative regulation of long-chain fatty acid import across plasma membrane
AKT1	9606.ENSP00000451828	GO Process	GO:0010761	Fibroblast migration
AKT1	9606.ENSP00000451828	GO Process	GO:0010762	Regulation of fibroblast migration
AKT1	9606.ENSP00000451828	GO Process	GO:0010763	Positive regulation of fibroblast migration
AKT1	9606.ENSP00000451828	GO Process	GO:0010765	Positive regulation of sodium ion transport
AKT1	9606.ENSP00000451828	GO Process	GO:0010821	Regulation of mitochondrion organization
AKT1	9606.ENSP00000451828	GO Process	GO:0010823	Negative regulation of mitochondrion organization
AKT1	9606.ENSP00000451828	GO Process	GO:0010827	Regulation of glucose transmembrane transport
AKT1	9606.ENSP00000451828	GO Process	GO:0010828	Positive regulation of glucose transmembrane transport
AKT1	9606.ENSP00000451828	GO Process	GO:0010906	Regulation of glucose metabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0010907	Positive regulation of glucose metabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0010918	Positive regulation of mitochondrial membrane potential
AKT1	9606.ENSP00000451828	GO Process	GO:0010941	Regulation of cell death
AKT1	9606.ENSP00000451828	GO Process	GO:0010951	Negative regulation of endopeptidase activity
AKT1	9606.ENSP00000451828	GO Process	GO:0010959	Regulation of metal ion transport
AKT1	9606.ENSP00000451828	GO Process	GO:0010962	Regulation of glucan biosynthetic process
AKT1	9606.ENSP00000451828	GO Process	GO:0010975	Regulation of neuron projection development
AKT1	9606.ENSP00000451828	GO Process	GO:0012501	Programmed cell death
AKT1	9606.ENSP00000451828	GO Process	GO:0014037	Schwann cell differentiation
AKT1	9606.ENSP00000451828	GO Process	GO:0014044	Schwann cell development
AKT1	9606.ENSP00000451828	GO Process	GO:0014065	Phosphatidylinositol 3-kinase signaling
AKT1	9606.ENSP00000451828	GO Process	GO:0015031	Protein transport
AKT1	9606.ENSP00000451828	GO Process	GO:0015980	Energy derivation by oxidation of organic compounds
AKT1	9606.ENSP00000451828	GO Process	GO:0016043	Cellular component organization
AKT1	9606.ENSP00000451828	GO Process	GO:0016051	Carbohydrate biosynthetic process
AKT1	9606.ENSP00000451828	GO Process	GO:0016241	Regulation of macroautophagy
AKT1	9606.ENSP00000451828	GO Process	GO:0016242	Negative regulation of macroautophagy
AKT1	9606.ENSP00000451828	GO Process	GO:0016310	Phosphorylation
AKT1	9606.ENSP00000451828	GO Process	GO:0016477	Cell migration
AKT1	9606.ENSP00000451828	GO Process	GO:0016567	Protein ubiquitination
AKT1	9606.ENSP00000451828	GO Process	GO:0018105	Peptidyl-serine phosphorylation
AKT1	9606.ENSP00000451828	GO Process	GO:0018107	Peptidyl-threonine phosphorylation
AKT1	9606.ENSP00000451828	GO Process	GO:0018193	Peptidyl-amino acid modification
AKT1	9606.ENSP00000451828	GO Process	GO:0018209	Peptidyl-serine modification
AKT1	9606.ENSP00000451828	GO Process	GO:0018210	Peptidyl-threonine modification
AKT1	9606.ENSP00000451828	GO Process	GO:0019216	Regulation of lipid metabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0019217	Regulation of fatty acid metabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0019219	Regulation of nucleobase-containing compound metabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0019220	Regulation of phosphate metabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0019221	Cytokine-mediated signaling pathway
AKT1	9606.ENSP00000451828	GO Process	GO:0019222	Regulation of metabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0019318	Hexose metabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0019538	Protein metabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0019941	Modification-dependent protein catabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0019953	Sexual reproduction
AKT1	9606.ENSP00000451828	GO Process	GO:0021782	Glial cell development
AKT1	9606.ENSP00000451828	GO Process	GO:0022008	Neurogenesis
AKT1	9606.ENSP00000451828	GO Process	GO:0022011	Myelination in peripheral nervous system
AKT1	9606.ENSP00000451828	GO Process	GO:0022407	Regulation of cell-cell adhesion
AKT1	9606.ENSP00000451828	GO Process	GO:0022408	Negative regulation of cell-cell adhesion
AKT1	9606.ENSP00000451828	GO Process	GO:0022409	Positive regulation of cell-cell adhesion
AKT1	9606.ENSP00000451828	GO Process	GO:0022412	Cellular process involved in reproduction in multicellular organism
AKT1	9606.ENSP00000451828	GO Process	GO:0022414	Reproductive process
AKT1	9606.ENSP00000451828	GO Process	GO:0023051	Regulation of signaling
AKT1	9606.ENSP00000451828	GO Process	GO:0023052	Signaling
AKT1	9606.ENSP00000451828	GO Process	GO:0023057	Negative regulation of signaling
AKT1	9606.ENSP00000451828	GO Process	GO:0030154	Cell differentiation
AKT1	9606.ENSP00000451828	GO Process	GO:0030155	Regulation of cell adhesion
AKT1	9606.ENSP00000451828	GO Process	GO:0030162	Regulation of proteolysis
AKT1	9606.ENSP00000451828	GO Process	GO:0030163	Protein catabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0030307	Positive regulation of cell growth
AKT1	9606.ENSP00000451828	GO Process	GO:0030334	Regulation of cell migration
AKT1	9606.ENSP00000451828	GO Process	GO:0030335	Positive regulation of cell migration
AKT1	9606.ENSP00000451828	GO Process	GO:0030336	Negative regulation of cell migration
AKT1	9606.ENSP00000451828	GO Process	GO:0030855	Epithelial cell differentiation
AKT1	9606.ENSP00000451828	GO Process	GO:0030879	Mammary gland development
AKT1	9606.ENSP00000451828	GO Process	GO:0031294	Lymphocyte costimulation
AKT1	9606.ENSP00000451828	GO Process	GO:0031295	T cell costimulation
AKT1	9606.ENSP00000451828	GO Process	GO:0031323	Regulation of cellular metabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0031324	Negative regulation of cellular metabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0031325	Positive regulation of cellular metabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0031326	Regulation of cellular biosynthetic process
AKT1	9606.ENSP00000451828	GO Process	GO:0031328	Positive regulation of cellular biosynthetic process
AKT1	9606.ENSP00000451828	GO Process	GO:0031329	Regulation of cellular catabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0031330	Negative regulation of cellular catabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0031331	Positive regulation of cellular catabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0031344	Regulation of cell projection organization
AKT1	9606.ENSP00000451828	GO Process	GO:0031396	Regulation of protein ubiquitination
AKT1	9606.ENSP00000451828	GO Process	GO:0031397	Negative regulation of protein ubiquitination
AKT1	9606.ENSP00000451828	GO Process	GO:0031399	Regulation of protein modification process
AKT1	9606.ENSP00000451828	GO Process	GO:0031400	Negative regulation of protein modification process
AKT1	9606.ENSP00000451828	GO Process	GO:0031401	Positive regulation of protein modification process
AKT1	9606.ENSP00000451828	GO Process	GO:0031641	Regulation of myelination
AKT1	9606.ENSP00000451828	GO Process	GO:0031663	Lipopolysaccharide-mediated signaling pathway
AKT1	9606.ENSP00000451828	GO Process	GO:0031667	Response to nutrient levels
AKT1	9606.ENSP00000451828	GO Process	GO:0031929	TOR signaling
AKT1	9606.ENSP00000451828	GO Process	GO:0031998	Regulation of fatty acid beta-oxidation
AKT1	9606.ENSP00000451828	GO Process	GO:0031999	Negative regulation of fatty acid beta-oxidation
AKT1	9606.ENSP00000451828	GO Process	GO:0032069	Regulation of nuclease activity
AKT1	9606.ENSP00000451828	GO Process	GO:0032070	Regulation of deoxyribonuclease activity
AKT1	9606.ENSP00000451828	GO Process	GO:0032071	Regulation of endodeoxyribonuclease activity
AKT1	9606.ENSP00000451828	GO Process	GO:0032075	Positive regulation of nuclease activity
AKT1	9606.ENSP00000451828	GO Process	GO:0032077	Positive regulation of deoxyribonuclease activity
AKT1	9606.ENSP00000451828	GO Process	GO:0032079	Positive regulation of endodeoxyribonuclease activity
AKT1	9606.ENSP00000451828	GO Process	GO:0032091	Negative regulation of protein binding
AKT1	9606.ENSP00000451828	GO Process	GO:0032094	Response to food
AKT1	9606.ENSP00000451828	GO Process	GO:0032287	Peripheral nervous system myelin maintenance
AKT1	9606.ENSP00000451828	GO Process	GO:0032292	Peripheral nervous system axon ensheathment
AKT1	9606.ENSP00000451828	GO Process	GO:0032368	Regulation of lipid transport
AKT1	9606.ENSP00000451828	GO Process	GO:0032369	Negative regulation of lipid transport
AKT1	9606.ENSP00000451828	GO Process	GO:0032434	Regulation of proteasomal ubiquitin-dependent protein catabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0032436	Positive regulation of proteasomal ubiquitin-dependent protein catabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0032446	Protein modification by small protein conjugation
AKT1	9606.ENSP00000451828	GO Process	GO:0032496	Response to lipopolysaccharide
AKT1	9606.ENSP00000451828	GO Process	GO:0032501	Multicellular organismal process
AKT1	9606.ENSP00000451828	GO Process	GO:0032502	Developmental process
AKT1	9606.ENSP00000451828	GO Process	GO:0032504	Multicellular organism reproduction
AKT1	9606.ENSP00000451828	GO Process	GO:0032507	Maintenance of protein location in cell
AKT1	9606.ENSP00000451828	GO Process	GO:0032768	Regulation of monooxygenase activity
AKT1	9606.ENSP00000451828	GO Process	GO:0032770	Positive regulation of monooxygenase activity
AKT1	9606.ENSP00000451828	GO Process	GO:0032868	Response to insulin
AKT1	9606.ENSP00000451828	GO Process	GO:0032869	Cellular response to insulin stimulus
AKT1	9606.ENSP00000451828	GO Process	GO:0032870	Cellular response to hormone stimulus
AKT1	9606.ENSP00000451828	GO Process	GO:0032879	Regulation of localization
AKT1	9606.ENSP00000451828	GO Process	GO:0032880	Regulation of protein localization
AKT1	9606.ENSP00000451828	GO Process	GO:0032881	Regulation of polysaccharide metabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0032885	Regulation of polysaccharide biosynthetic process
AKT1	9606.ENSP00000451828	GO Process	GO:0032890	Regulation of organic acid transport
AKT1	9606.ENSP00000451828	GO Process	GO:0032891	Negative regulation of organic acid transport
AKT1	9606.ENSP00000451828	GO Process	GO:0033036	Macromolecule localization
AKT1	9606.ENSP00000451828	GO Process	GO:0033043	Regulation of organelle organization
AKT1	9606.ENSP00000451828	GO Process	GO:0033135	Regulation of peptidyl-serine phosphorylation
AKT1	9606.ENSP00000451828	GO Process	GO:0033138	Positive regulation of peptidyl-serine phosphorylation
AKT1	9606.ENSP00000451828	GO Process	GO:0033365	Protein localization to organelle
AKT1	9606.ENSP00000451828	GO Process	GO:0033500	Carbohydrate homeostasis
AKT1	9606.ENSP00000451828	GO Process	GO:0033554	Cellular response to stress
AKT1	9606.ENSP00000451828	GO Process	GO:0033555	Multicellular organismal response to stress
AKT1	9606.ENSP00000451828	GO Process	GO:0033673	Negative regulation of kinase activity
AKT1	9606.ENSP00000451828	GO Process	GO:0033674	Positive regulation of kinase activity
AKT1	9606.ENSP00000451828	GO Process	GO:0033692	Cellular polysaccharide biosynthetic process
AKT1	9606.ENSP00000451828	GO Process	GO:0033993	Response to lipid
AKT1	9606.ENSP00000451828	GO Process	GO:0034097	Response to cytokine
AKT1	9606.ENSP00000451828	GO Process	GO:0034248	Regulation of cellular amide metabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0034405	Response to fluid shear stress
AKT1	9606.ENSP00000451828	GO Process	GO:0034504	Protein localization to nucleus
AKT1	9606.ENSP00000451828	GO Process	GO:0034599	Cellular response to oxidative stress
AKT1	9606.ENSP00000451828	GO Process	GO:0034612	Response to tumor necrosis factor
AKT1	9606.ENSP00000451828	GO Process	GO:0034614	Cellular response to reactive oxygen species
AKT1	9606.ENSP00000451828	GO Process	GO:0034637	Cellular carbohydrate biosynthetic process
AKT1	9606.ENSP00000451828	GO Process	GO:0034641	Cellular nitrogen compound metabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0034645	Cellular macromolecule biosynthetic process
AKT1	9606.ENSP00000451828	GO Process	GO:0034694	Response to prostaglandin
AKT1	9606.ENSP00000451828	GO Process	GO:0034695	Response to prostaglandin E
AKT1	9606.ENSP00000451828	GO Process	GO:0034762	Regulation of transmembrane transport
AKT1	9606.ENSP00000451828	GO Process	GO:0034763	Negative regulation of transmembrane transport
AKT1	9606.ENSP00000451828	GO Process	GO:0034764	Positive regulation of transmembrane transport
AKT1	9606.ENSP00000451828	GO Process	GO:0035239	Tube morphogenesis
AKT1	9606.ENSP00000451828	GO Process	GO:0035295	Tube development
AKT1	9606.ENSP00000451828	GO Process	GO:0035556	Intracellular signal transduction
AKT1	9606.ENSP00000451828	GO Process	GO:0035655	interleukin-18-mediated signaling pathway
AKT1	9606.ENSP00000451828	GO Process	GO:0035924	Cellular response to vascular endothelial growth factor stimulus
AKT1	9606.ENSP00000451828	GO Process	GO:0036211	Protein modification process
AKT1	9606.ENSP00000451828	GO Process	GO:0036293	Response to decreased oxygen levels
AKT1	9606.ENSP00000451828	GO Process	GO:0036294	Cellular response to decreased oxygen levels
AKT1	9606.ENSP00000451828	GO Process	GO:0038061	NIK/NF-kappaB signaling
AKT1	9606.ENSP00000451828	GO Process	GO:0038127	ERBB signaling pathway
AKT1	9606.ENSP00000451828	GO Process	GO:0040008	Regulation of growth
AKT1	9606.ENSP00000451828	GO Process	GO:0040012	Regulation of locomotion
AKT1	9606.ENSP00000451828	GO Process	GO:0040013	Negative regulation of locomotion
AKT1	9606.ENSP00000451828	GO Process	GO:0040017	Positive regulation of locomotion
AKT1	9606.ENSP00000451828	GO Process	GO:0042063	Gliogenesis
AKT1	9606.ENSP00000451828	GO Process	GO:0042127	Regulation of cell population proliferation
AKT1	9606.ENSP00000451828	GO Process	GO:0042176	Regulation of protein catabolic process
AKT1	9606.ENSP00000451828	GO Process	GO:0042221	Response to chemical
AKT1	9606.ENSP00000451828	GO Process	GO:0042325	Regulation of phosphorylation
AKT1	9606.ENSP00000451828	GO Process	GO:0042326	Negative regulation of phosphorylation
AKT1	9606.ENSP00000451828	GO Process	GO:0042327	Positive regulation of phosphorylation
AKT1	9606.ENSP00000451828	GO Process	GO:0042391	Regulation of membrane potential
